,"Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Margin of Error"
0,"1,395",±359,"2,507",±482,"2,461",±621,"1,651",±445,"1,939",±458,0,±13
1,440,±131,"1,205",±335,"1,198",±478,"1,033",±365,943,±326,0,±13
2,98,±74,167,±134,262,±198,94,±65,262,±116,0,±13
3,497,±256,771,±236,506,±185,468,±210,682,±269,0,±13
4,60,±60,65,±76,186,±137,20,±29,33,±41,0,±13
5,68,±62,132,±130,52,±84,25,±33,0,±19,0,±13
6,232,±182,167,±96,257,±259,11,±17,19,±23,0,±13
