,"Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Margin of Error"
0,"1,293",±241,"3,109",±608,"2,062",±328,"1,500",±249,"2,002",±250,72,±55
1,718,±171,"1,325",±345,"1,073",±257,601,±167,"1,027",±187,62,±53
2,98,±63,453,±247,197,±119,137,±84,117,±74,10,±17
3,432,±170,"1,084",±364,670,±209,732,±185,744,±221,0,±12
4,36,±44,56,±63,91,±81,0,±12,41,±44,0,±12
5,0,±12,36,±40,0,±17,20,±30,11,±16,0,±12
6,9,±13,155,±114,31,±33,10,±17,62,±55,0,±12
